No.,Time,Source,Destination,Protocol,Length,Info,Info_clean
1628,133.006583,0xd7a7,0x1de6,ZigBee HA,56,"ZCL: Read Attributes, Seq: 142","ZCL: Read Attributes,"
1630,133.03057,0xd7a7,0x1de6,ZigBee HA,52,"ZCL: Read Attributes, Seq: 143","ZCL: Read Attributes,"
1632,133.052445,0x1de6,0xd7a7,ZigBee HA,69,"ZCL: Read Attributes Response, Seq: 142","ZCL: Read Attributes Response,"
1636,133.084692,0x1de6,0xd7a7,ZigBee HA,61,"ZCL: Read Attributes Response, Seq: 143","ZCL: Read Attributes Response,"
1732,142.064534,0x1de6,Broadcast,ZigBee,80,Link Status,Link Status
1796,145.611053,0xd7a7,0x1de6,ZigBee HA,56,"ZCL: Read Attributes, Seq: 165","ZCL: Read Attributes,"
1798,145.644022,0xd7a7,0x1de6,ZigBee HA,52,"ZCL: Read Attributes, Seq: 166","ZCL: Read Attributes,"
1800,145.669519,0x1de6,0xd7a7,ZigBee HA,69,"ZCL: Read Attributes Response, Seq: 165","ZCL: Read Attributes Response,"
1804,145.700657,0x1de6,0xd7a7,ZigBee HA,61,"ZCL: Read Attributes Response, Seq: 166","ZCL: Read Attributes Response,"
1951,158.251763,0xd7a7,0x1de6,ZigBee HA,56,"ZCL: Read Attributes, Seq: 188","ZCL: Read Attributes,"
1953,158.28331,0xd7a7,0x1de6,ZigBee HA,52,"ZCL: Read Attributes, Seq: 189","ZCL: Read Attributes,"
1955,158.308683,0x1de6,0xd7a7,ZigBee HA,69,"ZCL: Read Attributes Response, Seq: 188","ZCL: Read Attributes Response,"
1959,158.339433,0x1de6,0xd7a7,ZigBee HA,61,"ZCL: Read Attributes Response, Seq: 189","ZCL: Read Attributes Response,"
2159,170.946298,0xd7a7,0x1de6,ZigBee HA,56,"ZCL: Read Attributes, Seq: 211","ZCL: Read Attributes,"
2161,170.978113,0xd7a7,0x1de6,ZigBee HA,52,"ZCL: Read Attributes, Seq: 212","ZCL: Read Attributes,"
2163,170.990138,0xd7a7,0x1de6,ZigBee HA,52,"ZCL: Read Attributes, Seq: 212","ZCL: Read Attributes,"
2165,171.003789,0x1de6,0xd7a7,ZigBee HA,69,"ZCL: Read Attributes Response, Seq: 211","ZCL: Read Attributes Response,"
2169,171.033143,0x1de6,0xd7a7,ZigBee HA,61,"ZCL: Read Attributes Response, Seq: 212","ZCL: Read Attributes Response,"
2206,174.38878,0x1de6,Broadcast,ZigBee,80,Link Status,Link Status
2352,183.608774,0xd7a7,0x1de6,ZigBee HA,56,"ZCL: Read Attributes, Seq: 234","ZCL: Read Attributes,"
2354,183.637873,0xd7a7,0x1de6,ZigBee HA,52,"ZCL: Read Attributes, Seq: 235","ZCL: Read Attributes,"
2356,183.66587,0x1de6,0xd7a7,ZigBee HA,69,"ZCL: Read Attributes Response, Seq: 234","ZCL: Read Attributes Response,"
2360,183.692869,0x1de6,0xd7a7,ZigBee HA,61,"ZCL: Read Attributes Response, Seq: 235","ZCL: Read Attributes Response,"
2418,189.667514,0x1de6,Broadcast,ZigBee,80,Link Status,Link Status
2529,196.246731,0xd7a7,0x1de6,ZigBee HA,56,"ZCL: Read Attributes, Seq: 1","ZCL: Read Attributes,"
2531,196.27731,0xd7a7,0x1de6,ZigBee HA,52,"ZCL: Read Attributes, Seq: 2","ZCL: Read Attributes,"
2533,196.305314,0x1de6,0xd7a7,ZigBee HA,69,"ZCL: Read Attributes Response, Seq: 1","ZCL: Read Attributes Response,"
2537,196.333567,0x1de6,0xd7a7,ZigBee HA,61,"ZCL: Read Attributes Response, Seq: 2","ZCL: Read Attributes Response,"
2636,204.293658,0x1de6,Broadcast,ZigBee,80,Link Status,Link Status
2723,208.942685,0xd7a7,0x1de6,ZigBee HA,56,"ZCL: Read Attributes, Seq: 24","ZCL: Read Attributes,"
2725,208.970554,0xd7a7,0x1de6,ZigBee HA,52,"ZCL: Read Attributes, Seq: 25","ZCL: Read Attributes,"
2728,208.999589,0x1de6,0xd7a7,ZigBee HA,69,"ZCL: Read Attributes Response, Seq: 24","ZCL: Read Attributes Response,"
2732,209.028273,0x1de6,0xd7a7,ZigBee HA,61,"ZCL: Read Attributes Response, Seq: 25","ZCL: Read Attributes Response,"
2959,219.701121,0x1de6,Broadcast,ZigBee,80,Link Status,Link Status
2972,221.711871,0xd7a7,0x1de6,ZigBee HA,56,"ZCL: Read Attributes, Seq: 47","ZCL: Read Attributes,"
2974,221.750845,0xd7a7,0x1de6,ZigBee HA,52,"ZCL: Read Attributes, Seq: 48","ZCL: Read Attributes,"
2976,221.768844,0x1de6,0xd7a7,ZigBee HA,69,"ZCL: Read Attributes Response, Seq: 47","ZCL: Read Attributes Response,"
2980,221.804843,0x1de6,0xd7a7,ZigBee HA,61,"ZCL: Read Attributes Response, Seq: 48","ZCL: Read Attributes Response,"
3166,234.433669,0xd7a7,0x1de6,ZigBee HA,56,"ZCL: Read Attributes, Seq: 70","ZCL: Read Attributes,"
3168,234.463994,0xd7a7,0x1de6,ZigBee HA,52,"ZCL: Read Attributes, Seq: 71","ZCL: Read Attributes,"
3170,234.48989,0x1de6,0xd7a7,ZigBee HA,69,"ZCL: Read Attributes Response, Seq: 70","ZCL: Read Attributes Response,"
3174,234.519413,0x1de6,0xd7a7,ZigBee HA,61,"ZCL: Read Attributes Response, Seq: 71","ZCL: Read Attributes Response,"
3178,234.683947,0x1de6,Broadcast,ZigBee,80,Link Status,Link Status
3358,247.10553,0xd7a7,0x1de6,ZigBee HA,56,"ZCL: Read Attributes, Seq: 93","ZCL: Read Attributes,"
3360,247.136004,0xd7a7,0x1de6,ZigBee HA,52,"ZCL: Read Attributes, Seq: 94","ZCL: Read Attributes,"
3362,247.162758,0x1de6,0xd7a7,ZigBee HA,69,"ZCL: Read Attributes Response, Seq: 93","ZCL: Read Attributes Response,"
3366,247.192242,0x1de6,0xd7a7,ZigBee HA,61,"ZCL: Read Attributes Response, Seq: 94","ZCL: Read Attributes Response,"
3416,251.6266,0x1de6,Broadcast,ZigBee,80,Link Status,Link Status
3553,259.729598,0xd7a7,0x1de6,ZigBee HA,56,"ZCL: Read Attributes, Seq: 116","ZCL: Read Attributes,"
3555,259.758782,0xd7a7,0x1de6,ZigBee HA,52,"ZCL: Read Attributes, Seq: 117","ZCL: Read Attributes,"
3557,259.785996,0x1de6,0xd7a7,ZigBee HA,69,"ZCL: Read Attributes Response, Seq: 116","ZCL: Read Attributes Response,"
3561,259.813835,0x1de6,0xd7a7,ZigBee HA,61,"ZCL: Read Attributes Response, Seq: 117","ZCL: Read Attributes Response,"
3666,268.060403,0x1de6,Broadcast,ZigBee,80,Link Status,Link Status
3746,272.363806,0xd7a7,0x1de6,ZigBee HA,56,"ZCL: Read Attributes, Seq: 139","ZCL: Read Attributes,"
3748,272.394394,0xd7a7,0x1de6,ZigBee HA,52,"ZCL: Read Attributes, Seq: 140","ZCL: Read Attributes,"
3751,272.421553,0x1de6,0xd7a7,ZigBee HA,69,"ZCL: Read Attributes Response, Seq: 139","ZCL: Read Attributes Response,"
3755,272.451133,0x1de6,0xd7a7,ZigBee HA,61,"ZCL: Read Attributes Response, Seq: 140","ZCL: Read Attributes Response,"
3940,284.623169,0x1de6,Broadcast,ZigBee,80,Link Status,Link Status
3941,285.102613,0xd7a7,0x1de6,ZigBee HA,56,"ZCL: Read Attributes, Seq: 162","ZCL: Read Attributes,"
3943,285.130632,0xd7a7,0x1de6,ZigBee HA,52,"ZCL: Read Attributes, Seq: 163","ZCL: Read Attributes,"
3945,285.160307,0x1de6,0xd7a7,ZigBee HA,69,"ZCL: Read Attributes Response, Seq: 162","ZCL: Read Attributes Response,"
3949,285.187843,0x1de6,0xd7a7,ZigBee HA,61,"ZCL: Read Attributes Response, Seq: 163","ZCL: Read Attributes Response,"
4129,297.693073,0xd7a7,0x1de6,ZigBee HA,56,"ZCL: Read Attributes, Seq: 185","ZCL: Read Attributes,"
4131,297.722182,0xd7a7,0x1de6,ZigBee HA,52,"ZCL: Read Attributes, Seq: 186","ZCL: Read Attributes,"
4133,297.747797,0x1de6,0xd7a7,ZigBee HA,69,"ZCL: Read Attributes Response, Seq: 185","ZCL: Read Attributes Response,"
4137,297.777549,0x1de6,0xd7a7,ZigBee HA,61,"ZCL: Read Attributes Response, Seq: 186","ZCL: Read Attributes Response,"
4146,298.841406,0x1de6,Broadcast,ZigBee,80,Link Status,Link Status
4320,310.364548,0xd7a7,0x1de6,ZigBee HA,56,"ZCL: Read Attributes, Seq: 208","ZCL: Read Attributes,"
4322,310.396363,0xd7a7,0x1de6,ZigBee HA,52,"ZCL: Read Attributes, Seq: 209","ZCL: Read Attributes,"
4324,310.419336,0x1de6,0xd7a7,ZigBee HA,69,"ZCL: Read Attributes Response, Seq: 208","ZCL: Read Attributes Response,"
4328,310.452335,0x1de6,0xd7a7,ZigBee HA,61,"ZCL: Read Attributes Response, Seq: 209","ZCL: Read Attributes Response,"
4387,316.523244,0x1de6,Broadcast,ZigBee,80,Link Status,Link Status
4510,323.072171,0xd7a7,0x1de6,ZigBee HA,56,"ZCL: Read Attributes, Seq: 231","ZCL: Read Attributes,"
4512,323.07877,0xd7a7,0x1de6,ZigBee HA,52,"ZCL: Read Attributes, Seq: 232","ZCL: Read Attributes,"
4514,323.129146,0x1de6,0xd7a7,ZigBee HA,69,"ZCL: Read Attributes Response, Seq: 231","ZCL: Read Attributes Response,"
4516,323.134394,0x1de6,0xd7a7,ZigBee HA,61,"ZCL: Read Attributes Response, Seq: 232","ZCL: Read Attributes Response,"
4625,331.605668,0x1de6,Broadcast,ZigBee,80,Link Status,Link Status
4702,335.673045,0xd7a7,0x1de6,ZigBee HA,56,"ZCL: Read Attributes, Seq: 254","ZCL: Read Attributes,"
4704,335.702382,0xd7a7,0x1de6,ZigBee HA,52,"ZCL: Read Attributes, Seq: 255","ZCL: Read Attributes,"
4706,335.731649,0x1de6,0xd7a7,ZigBee HA,69,"ZCL: Read Attributes Response, Seq: 254","ZCL: Read Attributes Response,"
4710,335.758634,0x1de6,0xd7a7,ZigBee HA,61,"ZCL: Read Attributes Response, Seq: 255","ZCL: Read Attributes Response,"
4891,347.372646,0x1de6,Broadcast,ZigBee,80,Link Status,Link Status
4903,348.338474,0xd7a7,0x1de6,ZigBee HA,56,"ZCL: Read Attributes, Seq: 22","ZCL: Read Attributes,"
4905,348.367542,0xd7a7,0x1de6,ZigBee HA,52,"ZCL: Read Attributes, Seq: 23","ZCL: Read Attributes,"
4911,348.424444,0x1de6,0xd7a7,ZigBee HA,61,"ZCL: Read Attributes Response, Seq: 23","ZCL: Read Attributes Response,"
5096,360.973565,0xd7a7,0x1de6,ZigBee HA,56,"ZCL: Read Attributes, Seq: 45","ZCL: Read Attributes,"
5098,361.002928,0xd7a7,0x1de6,ZigBee HA,52,"ZCL: Read Attributes, Seq: 46","ZCL: Read Attributes,"
5100,361.03091,0x1de6,0xd7a7,ZigBee HA,69,"ZCL: Read Attributes Response, Seq: 45","ZCL: Read Attributes Response,"
5104,361.057905,0x1de6,0xd7a7,ZigBee HA,61,"ZCL: Read Attributes Response, Seq: 46","ZCL: Read Attributes Response,"
5145,365.308833,0x1de6,Broadcast,ZigBee,80,Link Status,Link Status
5286,373.679116,0xd7a7,0x1de6,ZigBee HA,56,"ZCL: Read Attributes, Seq: 68","ZCL: Read Attributes,"
5288,373.709334,0xd7a7,0x1de6,ZigBee HA,52,"ZCL: Read Attributes, Seq: 69","ZCL: Read Attributes,"
5291,373.744956,0x1de6,0xd7a7,ZigBee HA,69,"ZCL: Read Attributes Response, Seq: 68","ZCL: Read Attributes Response,"
5295,373.765598,0x1de6,0xd7a7,ZigBee HA,61,"ZCL: Read Attributes Response, Seq: 69","ZCL: Read Attributes Response,"
5357,380.064737,0x1de6,Broadcast,ZigBee,80,Link Status,Link Status
5483,386.368703,0xd7a7,0x1de6,ZigBee HA,56,"ZCL: Read Attributes, Seq: 91","ZCL: Read Attributes,"
5485,386.396544,0xd7a7,0x1de6,ZigBee HA,52,"ZCL: Read Attributes, Seq: 92","ZCL: Read Attributes,"
5487,386.424702,0x1de6,0xd7a7,ZigBee HA,69,"ZCL: Read Attributes Response, Seq: 91","ZCL: Read Attributes Response,"
5491,386.452818,0x1de6,0xd7a7,ZigBee HA,61,"ZCL: Read Attributes Response, Seq: 92","ZCL: Read Attributes Response,"
5595,394.72737,0x1de6,Broadcast,ZigBee,80,Link Status,Link Status
5675,399.059027,0xd7a7,0x1de6,ZigBee HA,56,"ZCL: Read Attributes, Seq: 114","ZCL: Read Attributes,"
5677,399.089368,0xd7a7,0x1de6,ZigBee HA,52,"ZCL: Read Attributes, Seq: 115","ZCL: Read Attributes,"
5679,399.114871,0x1de6,0xd7a7,ZigBee HA,69,"ZCL: Read Attributes Response, Seq: 114","ZCL: Read Attributes Response,"
5683,399.144385,0x1de6,0xd7a7,ZigBee HA,61,"ZCL: Read Attributes Response, Seq: 115","ZCL: Read Attributes Response,"
5866,411.147875,0x1de6,Broadcast,ZigBee,80,Link Status,Link Status
5870,411.681987,0xd7a7,0x1de6,ZigBee HA,56,"ZCL: Read Attributes, Seq: 137","ZCL: Read Attributes,"
5872,411.711167,0xd7a7,0x1de6,ZigBee HA,52,"ZCL: Read Attributes, Seq: 138","ZCL: Read Attributes,"
5875,411.743692,0x1de6,0xd7a7,ZigBee HA,69,"ZCL: Read Attributes Response, Seq: 137","ZCL: Read Attributes Response,"
5879,411.767194,0x1de6,0xd7a7,ZigBee HA,61,"ZCL: Read Attributes Response, Seq: 138","ZCL: Read Attributes Response,"
6094,424.283288,0xd7a7,0x1de6,ZigBee HA,56,"ZCL: Read Attributes, Seq: 160","ZCL: Read Attributes,"
6096,424.313509,0xd7a7,0x1de6,ZigBee HA,52,"ZCL: Read Attributes, Seq: 161","ZCL: Read Attributes,"
6098,424.341501,0x1de6,0xd7a7,ZigBee HA,69,"ZCL: Read Attributes Response, Seq: 160","ZCL: Read Attributes Response,"
6102,424.369501,0x1de6,0xd7a7,ZigBee HA,61,"ZCL: Read Attributes Response, Seq: 161","ZCL: Read Attributes Response,"
6133,427.133657,0x1de6,Broadcast,ZigBee,80,Link Status,Link Status
6289,437.014549,0xd7a7,0x1de6,ZigBee HA,56,"ZCL: Read Attributes, Seq: 183","ZCL: Read Attributes,"
6291,437.046049,0xd7a7,0x1de6,ZigBee HA,52,"ZCL: Read Attributes, Seq: 184","ZCL: Read Attributes,"
6294,437.071669,0x1de6,0xd7a7,ZigBee HA,69,"ZCL: Read Attributes Response, Seq: 183","ZCL: Read Attributes Response,"
6298,437.100919,0x1de6,0xd7a7,ZigBee HA,61,"ZCL: Read Attributes Response, Seq: 184","ZCL: Read Attributes Response,"
6368,444.557838,0x1de6,Broadcast,ZigBee,80,Link Status,Link Status
6482,449.702916,0xd7a7,0x1de6,ZigBee HA,56,"ZCL: Read Attributes, Seq: 206","ZCL: Read Attributes,"
6484,449.735641,0xd7a7,0x1de6,ZigBee HA,52,"ZCL: Read Attributes, Seq: 207","ZCL: Read Attributes,"
6486,449.759764,0x1de6,0xd7a7,ZigBee HA,69,"ZCL: Read Attributes Response, Seq: 206","ZCL: Read Attributes Response,"
6490,449.792886,0x1de6,0xd7a7,ZigBee HA,61,"ZCL: Read Attributes Response, Seq: 207","ZCL: Read Attributes Response,"
6660,460.494307,0x1de6,Broadcast,ZigBee,80,Link Status,Link Status
6677,462.381729,0xd7a7,0x1de6,ZigBee HA,56,"ZCL: Read Attributes, Seq: 229","ZCL: Read Attributes,"
6679,462.411047,0xd7a7,0x1de6,ZigBee HA,52,"ZCL: Read Attributes, Seq: 230","ZCL: Read Attributes,"
6681,462.439462,0x1de6,0xd7a7,ZigBee HA,69,"ZCL: Read Attributes Response, Seq: 229","ZCL: Read Attributes Response,"
6685,462.468012,0x1de6,0xd7a7,ZigBee HA,61,"ZCL: Read Attributes Response, Seq: 230","ZCL: Read Attributes Response,"
6894,475.067441,0xd7a7,0x1de6,ZigBee HA,56,"ZCL: Read Attributes, Seq: 252","ZCL: Read Attributes,"
6896,475.091483,0xd7a7,0x1de6,ZigBee HA,52,"ZCL: Read Attributes, Seq: 253","ZCL: Read Attributes,"
6898,475.12359,0x1de6,0xd7a7,ZigBee HA,69,"ZCL: Read Attributes Response, Seq: 252","ZCL: Read Attributes Response,"
6902,475.149312,0x1de6,0xd7a7,ZigBee HA,61,"ZCL: Read Attributes Response, Seq: 253","ZCL: Read Attributes Response,"
6914,476.930052,0x1de6,Broadcast,ZigBee,80,Link Status,Link Status
7091,487.731654,0xd7a7,0x1de6,ZigBee HA,56,"ZCL: Read Attributes, Seq: 19","ZCL: Read Attributes,"
7093,487.761985,0xd7a7,0x1de6,ZigBee HA,52,"ZCL: Read Attributes, Seq: 20","ZCL: Read Attributes,"
7095,487.787477,0x1de6,0xd7a7,ZigBee HA,69,"ZCL: Read Attributes Response, Seq: 19","ZCL: Read Attributes Response,"
7099,487.81798,0x1de6,0xd7a7,ZigBee HA,61,"ZCL: Read Attributes Response, Seq: 20","ZCL: Read Attributes Response,"
7159,493.519494,0x1de6,Broadcast,ZigBee,80,Link Status,Link Status
7284,500.362694,0xd7a7,0x1de6,ZigBee HA,56,"ZCL: Read Attributes, Seq: 42","ZCL: Read Attributes,"
7286,500.39319,0xd7a7,0x1de6,ZigBee HA,52,"ZCL: Read Attributes, Seq: 43","ZCL: Read Attributes,"
7288,500.403564,0xd7a7,0x1de6,ZigBee HA,52,"ZCL: Read Attributes, Seq: 43","ZCL: Read Attributes,"
7290,500.420333,0x1de6,0xd7a7,ZigBee HA,69,"ZCL: Read Attributes Response, Seq: 42","ZCL: Read Attributes Response,"
7294,500.449941,0x1de6,0xd7a7,ZigBee HA,61,"ZCL: Read Attributes Response, Seq: 43","ZCL: Read Attributes Response,"
7392,507.717912,0x1de6,Broadcast,ZigBee,80,Link Status,Link Status
7542,513.031176,0xd7a7,0x1de6,ZigBee HA,56,"ZCL: Read Attributes, Seq: 65","ZCL: Read Attributes,"
7544,513.062917,0xd7a7,0x1de6,ZigBee HA,52,"ZCL: Read Attributes, Seq: 66","ZCL: Read Attributes,"
7552,513.117872,0x1de6,0xd7a7,ZigBee HA,61,"ZCL: Read Attributes Response, Seq: 66","ZCL: Read Attributes Response,"
7742,525.627617,0x1de6,Broadcast,ZigBee,80,Link Status,Link Status
7743,525.793082,0xd7a7,0x1de6,ZigBee HA,56,"ZCL: Read Attributes, Seq: 88","ZCL: Read Attributes,"
7745,525.82247,0xd7a7,0x1de6,ZigBee HA,52,"ZCL: Read Attributes, Seq: 89","ZCL: Read Attributes,"
7747,525.850882,0x1de6,0xd7a7,ZigBee HA,69,"ZCL: Read Attributes Response, Seq: 88","ZCL: Read Attributes Response,"
7751,525.878196,0x1de6,0xd7a7,ZigBee HA,61,"ZCL: Read Attributes Response, Seq: 89","ZCL: Read Attributes Response,"
7935,538.410561,0xd7a7,0x1de6,ZigBee HA,56,"ZCL: Read Attributes, Seq: 111","ZCL: Read Attributes,"
7937,538.442161,0xd7a7,0x1de6,ZigBee HA,52,"ZCL: Read Attributes, Seq: 112","ZCL: Read Attributes,"
7939,538.46892,0x1de6,0xd7a7,ZigBee HA,69,"ZCL: Read Attributes Response, Seq: 111","ZCL: Read Attributes Response,"
7943,538.498527,0x1de6,0xd7a7,ZigBee HA,61,"ZCL: Read Attributes Response, Seq: 112","ZCL: Read Attributes Response,"
7983,542.12325,0x1de6,Broadcast,ZigBee,80,Link Status,Link Status
8130,551.060509,0xd7a7,0x1de6,ZigBee HA,56,"ZCL: Read Attributes, Seq: 134","ZCL: Read Attributes,"
8132,551.091041,0xd7a7,0x1de6,ZigBee HA,52,"ZCL: Read Attributes, Seq: 135","ZCL: Read Attributes,"
8134,551.116757,0x1de6,0xd7a7,ZigBee HA,69,"ZCL: Read Attributes Response, Seq: 134","ZCL: Read Attributes Response,"
8138,551.145731,0x1de6,0xd7a7,ZigBee HA,61,"ZCL: Read Attributes Response, Seq: 135","ZCL: Read Attributes Response,"
8244,559.813188,0x1de6,Broadcast,ZigBee,80,Link Status,Link Status
8322,563.698032,0xd7a7,0x1de6,ZigBee HA,56,"ZCL: Read Attributes, Seq: 157","ZCL: Read Attributes,"
8324,563.727134,0xd7a7,0x1de6,ZigBee HA,52,"ZCL: Read Attributes, Seq: 158","ZCL: Read Attributes,"
8326,563.755003,0x1de6,0xd7a7,ZigBee HA,69,"ZCL: Read Attributes Response, Seq: 157","ZCL: Read Attributes Response,"
8330,563.781877,0x1de6,0xd7a7,ZigBee HA,61,"ZCL: Read Attributes Response, Seq: 158","ZCL: Read Attributes Response,"
8513,575.690525,0x1de6,Broadcast,ZigBee,80,Link Status,Link Status
8514,576.369636,0xd7a7,0x1de6,ZigBee HA,56,"ZCL: Read Attributes, Seq: 180","ZCL: Read Attributes,"
8516,576.398627,0xd7a7,0x1de6,ZigBee HA,52,"ZCL: Read Attributes, Seq: 181","ZCL: Read Attributes,"
8518,576.426742,0x1de6,0xd7a7,ZigBee HA,69,"ZCL: Read Attributes Response, Seq: 180","ZCL: Read Attributes Response,"
8522,576.45624,0x1de6,0xd7a7,ZigBee HA,61,"ZCL: Read Attributes Response, Seq: 181","ZCL: Read Attributes Response,"
8707,588.98473,0xd7a7,0x1de6,ZigBee HA,56,"ZCL: Read Attributes, Seq: 203","ZCL: Read Attributes,"
8709,589.013933,0xd7a7,0x1de6,ZigBee HA,52,"ZCL: Read Attributes, Seq: 204","ZCL: Read Attributes,"
8711,589.04331,0x1de6,0xd7a7,ZigBee HA,69,"ZCL: Read Attributes Response, Seq: 203","ZCL: Read Attributes Response,"
8715,589.070307,0x1de6,0xd7a7,ZigBee HA,61,"ZCL: Read Attributes Response, Seq: 204","ZCL: Read Attributes Response,"
8740,591.446555,0x1de6,Broadcast,ZigBee,80,Link Status,Link Status
